2026-01-20 11:52:41.695 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=LONG event=GO_SHORT current=1.00 target=-1.00 rule=ReversalToShortFromLong strategy=ReversalToShort transition=REVERSAL_TO_SHORT actions=2 fifo_ops=2
2026-01-20 11:52:41.695 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=SHORT event=GO_SHORT current=-1.00 target=-1.00 rule=AdjustShortFromShort strategy=NoOperation transition=NO_OP actions=0 fifo_ops=0
2026-01-20 11:52:41.696 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=SHORT event=GO_LONG current=-1.00 target=1.00 rule=ReversalToLongFromShort strategy=ReversalToLong transition=REVERSAL_TO_LONG actions=2 fifo_ops=2
2026-01-20 11:52:41.696 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=LONG event=GO_LONG current=1.00 target=1.00 rule=AdjustLongFromLong strategy=NoOperation transition=NO_OP actions=0 fifo_ops=0
2026-01-20 11:52:41.697 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=LONG event=GO_SHORT current=1.00 target=-1.00 rule=ReversalToShortFromLong strategy=ReversalToShort transition=REVERSAL_TO_SHORT actions=2 fifo_ops=2
2026-01-20 11:52:41.697 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=SHORT event=GO_SHORT current=-1.00 target=-1.00 rule=AdjustShortFromShort strategy=NoOperation transition=NO_OP actions=0 fifo_ops=0
2026-01-20 11:52:41.698 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=SHORT event=GO_LONG current=-1.00 target=1.00 rule=ReversalToLongFromShort strategy=ReversalToLong transition=REVERSAL_TO_LONG actions=2 fifo_ops=2
2026-01-20 11:52:41.698 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=LONG event=GO_LONG current=1.00 target=1.00 rule=AdjustLongFromLong strategy=NoOperation transition=NO_OP actions=0 fifo_ops=0
2026-01-20 11:52:41.699 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=LONG event=GO_SHORT current=1.00 target=-1.00 rule=ReversalToShortFromLong strategy=ReversalToShort transition=REVERSAL_TO_SHORT actions=2 fifo_ops=2
2026-01-20 11:52:41.699 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=SHORT event=GO_SHORT current=-1.00 target=-1.00 rule=AdjustShortFromShort strategy=NoOperation transition=NO_OP actions=0 fifo_ops=0
2026-01-20 11:52:41.702 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=SHORT event=GO_LONG current=-1.00 target=1.00 rule=ReversalToLongFromShort strategy=ReversalToLong transition=REVERSAL_TO_LONG actions=2 fifo_ops=2
2026-01-20 11:52:41.702 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=LONG event=GO_LONG current=1.00 target=1.00 rule=AdjustLongFromLong strategy=NoOperation transition=NO_OP actions=0 fifo_ops=0
2026-01-20 11:52:41.702 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=LONG event=GO_SHORT current=1.00 target=-1.00 rule=ReversalToShortFromLong strategy=ReversalToShort transition=REVERSAL_TO_SHORT actions=2 fifo_ops=2
2026-01-20 11:52:41.703 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=SHORT event=GO_SHORT current=-1.00 target=-1.00 rule=AdjustShortFromShort strategy=NoOperation transition=NO_OP actions=0 fifo_ops=0
2026-01-20 11:52:41.704 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=SHORT event=GO_LONG current=-1.00 target=1.00 rule=ReversalToLongFromShort strategy=ReversalToLong transition=REVERSAL_TO_LONG actions=2 fifo_ops=2
2026-01-20 11:52:41.705 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=LONG event=GO_LONG current=1.00 target=1.00 rule=AdjustLongFromLong strategy=NoOperation transition=NO_OP actions=0 fifo_ops=0
2026-01-20 11:52:41.705 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=LONG event=GO_SHORT current=1.00 target=-1.00 rule=ReversalToShortFromLong strategy=ReversalToShort transition=REVERSAL_TO_SHORT actions=2 fifo_ops=2
2026-01-20 11:52:41.705 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=SHORT event=GO_SHORT current=-1.00 target=-1.00 rule=AdjustShortFromShort strategy=NoOperation transition=NO_OP actions=0 fifo_ops=0
2026-01-20 11:52:41.706 | DEBUG | Backtest | run_id=0841996    | InvestIQ.TransitionEngine | state=SHORT event=GO_LONG current=-1.00 target=1.00 rule=ReversalToLongFromShort strategy=ReversalToLong transition=REVERSAL_TO_LONG actions=2 fifo_ops=2
